"Category","File","Width","Height","KB","Url"
"brand","logo.png","200","62","9","https://www.qpl.com.ph/wp-content/uploads/2021/04/logo.png"
"brand","qpl-frontpage.png","249","249","130","https://www.qpl.com.ph/wp-content/uploads/2021/05/qpl-frontpage.png"
"plant","qplabout.jpg","852","570","162","https://www.qpl.com.ph/wp-content/uploads/2021/03/qplabout.jpg"
"plant","plan101.jpg","689","365","289","https://www.qpl.com.ph/wp-content/uploads/2021/03/plan101.jpg"
"plant","qmsi.jpg","852","570","112","https://www.qpl.com.ph/wp-content/uploads/2021/03/qmsi.jpg"
"plant","pepoi.jpg","852","451","72","https://www.qpl.com.ph/wp-content/uploads/2021/03/pepoi.jpg"
"plant","qpl_1_20160324_1617945723.jpg","700","371","297","https://www.qpl.com.ph/wp-content/uploads/2021/03/qpl_1_20160324_1617945723.jpg"
"plant","pwrplnt_7_20160313_1409956014.jpg","700","371","105","https://www.qpl.com.ph/wp-content/uploads/2021/03/pwrplnt_7_20160313_1409956014.jpg"
"plant","pwrplnt_6_20160313_1482337202.jpg","700","371","117","https://www.qpl.com.ph/wp-content/uploads/2021/03/pwrplnt_6_20160313_1482337202.jpg"
"plant","pwrplnt_5_20160313_1208207462.jpg","700","371","147","https://www.qpl.com.ph/wp-content/uploads/2021/03/pwrplnt_5_20160313_1208207462.jpg"
"plant","pwrplnt_4_20160313_1447751810.jpg","700","371","96","https://www.qpl.com.ph/wp-content/uploads/2021/03/pwrplnt_4_20160313_1447751810.jpg"
"plant","pwrplnt_3_20160313_1232835093.jpg","700","371","109","https://www.qpl.com.ph/wp-content/uploads/2021/03/pwrplnt_3_20160313_1232835093.jpg"
"plant","pwrplnt_1_20160313_1685656438.jpg","700","371","89","https://www.qpl.com.ph/wp-content/uploads/2021/03/pwrplnt_1_20160313_1685656438.jpg"
"plant","powerplant_8_20160311_1181804471.jpg","700","371","66","https://www.qpl.com.ph/wp-content/uploads/2021/03/powerplant_8_20160311_1181804471.jpg"
"plant","powerplant_7_20160311_1012006417.jpg","700","371","72","https://www.qpl.com.ph/wp-content/uploads/2021/03/powerplant_7_20160311_1012006417.jpg"
"plant","powerplant_6_20160311_1728258815.jpg","700","371","105","https://www.qpl.com.ph/wp-content/uploads/2021/03/powerplant_6_20160311_1728258815.jpg"
"plant","powerplant_5_20160311_1585017007.jpg","700","371","105","https://www.qpl.com.ph/wp-content/uploads/2021/03/powerplant_5_20160311_1585017007.jpg"
"plant","powerplant_4_20160311_1880997694.jpg","700","371","99","https://www.qpl.com.ph/wp-content/uploads/2021/03/powerplant_4_20160311_1880997694.jpg"
"plant","powerplant_3_20160311_1568178484.jpg","700","371","103","https://www.qpl.com.ph/wp-content/uploads/2021/03/powerplant_3_20160311_1568178484.jpg"
"plant","powerplant_2_20160311_1441035122.jpg","700","371","317","https://www.qpl.com.ph/wp-content/uploads/2021/03/powerplant_2_20160311_1441035122.jpg"
"plant","powerplant_1_20160311_1139917371.jpg","700","371","315","https://www.qpl.com.ph/wp-content/uploads/2021/03/powerplant_1_20160311_1139917371.jpg"
